Name,Type 1,Type 2,HP,Attack,Defense,Speed
Bulbasaur,Grass,Poison,45,49,49,45
Ivysaur,Grass,Poison,60,62,63,60
Venusaur,Grass,Poison,80,82,83,80
Charmander,Fire,,39,52,43,65
Charmeleon,Fire,,58,64,58,80
Charizard,Fire,Flying,78,84,78,100
Squirtle,Water,,44,48,65,43
Wartortle,Water,,59,63,80,58
Blastoise,Water,,79,83,100,78
Caterpie,Bug,,45,30,35,45
Metapod,Bug,,50,20,55,30
Butterfree,Bug,Flying,60,45,50,70
Weedle,Bug,Poison,40,35,30,50
Kakuna,Bug,Poison,45,25,50,35
Beedrill,Bug,Poison,65,90,40,75
Pidgey,Normal,Flying,40,45,40,56
Pidgeotto,Normal,Flying,63,60,55,71
Pidgeot,Normal,Flying,83,80,75,91
Rattata,Normal,,30,56,35,72
Raticate,Normal,,55,81,60,97
Spearow,Normal,Flying,40,60,30,70
Fearow,Normal,Flying,65,90,65,100
Ekans,Poison,,30,60,44,55
Arbok,Poison,,60,95,69,80
Pikachu,Electric,,35,55,40,90
Raichu,Electric,,60,90,55,110
Sandshrew,Ground,,50,75,85,40
Sandslash,Ground,,75,100,110,65
Nidoran (Female),Poison,,55,47,52,41
Nidorina,Poison,,70,62,67,56
Nidoqueen,Poison,Ground,90,92,87,76
Nidoran (Male),Poison,,46,57,40,50
Nidorino,Poison,,61,72,57,65
Nidoking,Poison,Ground,81,102,77,85
Clefairy,Fairy,,70,45,48,35
Clefable,Fairy,,95,70,73,60
Vulpix,Fire,,38,41,40,65
Ninetales,Fire,,73,76,75,100
Ninetales (Alolan),Ice,Fairy,73,67,75,109
Jigglypuff,Normal,Fairy,115,45,20,20
Wigglytuff,Normal,Fairy,140,70,45,45
Zubat,Poison,Flying,40,45,35,55
Golbat,Poison,Flying,75,80,70,90
Oddish,Grass,Poison,45,50,55,30
Gloom,Grass,Poison,60,65,70,40
Vileplume,Grass,Poison,75,80,85,50
Paras,Bug,Grass,35,70,55,25
Parasect,Bug,Grass,60,95,80,30
Venonat,Bug,Poison,60,55,50,45
Venomoth,Bug,Poison,70,65,60,90
Diglett,Ground,,10,55,25,95
Dugtrio,Ground,,35,100,50,120
Meowth,Normal,,40,45,35,90
Persian,Normal,,65,70,60,115
Psyduck,Water,,50,52,48,55
Golduck,Water,,80,82,78,85
Mankey,Fighting,,40,80,35,70
Primeape,Fighting,,65,105,60,95
Growlithe,Fire,,55,70,45,60
Arcanine,Fire,,90,110,80,95
Poliwag,Water,,40,50,40,90
Poliwhirl,Water,,65,65,65,90
Poliwrath,Water,Fighting,90,95,95,70
Abra,Psychic,,25,20,15,90
Kadabra,Psychic,,40,35,30,105
Alakazam,Psychic,,55,50,45,120
Machop,Fighting,,70,80,50,35
Machoke,Fighting,,80,100,70,45
Machamp,Fighting,,90,130,80,55
Bellsprout,Grass,Poison,50,75,35,40
Weepinbell,Grass,Poison,65,90,50,55
Victreebel,Grass,Poison,80,105,65,70
Tentacool,Water,Poison,40,40,35,70
Tentacruel,Water,Poison,80,70,65,100
Geodude,Rock,Ground,40,80,100,20
Graveler,Rock,Ground,55,95,115,35
Golem,Rock,Ground,80,120,130,45
Ponyta,Fire,,50,85,55,90
Rapidash,Fire,,65,100,70,105
Slowpoke,Water,Psychic,90,65,65,15
Slowbro,Water,Psychic,95,75,110,30
Magnemite,Electric,Steel,25,35,70,45
Magneton,Electric,Steel,50,60,95,70
Farfetch'd,Normal,Flying,52,90,55,60
Doduo,Normal,Flying,35,85,45,75
Dodrio,Normal,Flying,60,110,70,110
Seel,Water,,65,45,55,45
Dewgong,Water,Ice,90,70,80,70
Grimer,Poison,,80,80,50,25
Muk,Poison,,105,105,75,50
Shellder,Water,,30,65,100,40
Cloyster,Water,Ice,50,95,180,70
Gastly,Ghost,Poison,30,35,30,80
Haunter,Ghost,Poison,45,50,45,95
Gengar,Ghost,Poison,60,65,60,110
Onix,Rock,Ground,35,45,160,70
Drowzee,Psychic,,60,48,45,42
Hypno,Psychic,,85,73,70,67
Krabby,Water,,30,105,90,50
